route_id,stop_id,average_ons,average_offs,average_load,time_period_id,X,Y,Stop_ID,Stop_Name
33,875,3.05,0.0,3.05,time_period_01,-71.1146607,42.3006397,875.0,Forest Hills Station
33,875,2.9,0.0,2.9,time_period_10,-71.1146607,42.3006397,875.0,Forest Hills Station
33,6495,0.0,0.05,3.0,time_period_01,-71.116225,42.296229,6495.0,Hyde Park Ave opp Walk Hill St
33,6495,0.1,0.0,3.0,time_period_10,-71.116225,42.296229,6495.0,Hyde Park Ave opp Walk Hill St
33,26495,0.0,0.05,2.9,time_period_01,-71.1177959999999,42.2930490000001,26495.0,Hyde Park Ave opp Eldridge Rd
33,26495,0.0,0.1,2.9,time_period_10,-71.1177959999999,42.2930490000001,26495.0,Hyde Park Ave opp Eldridge Rd
33,36495,0.0,0.0,2.9,time_period_01,-71.118265,42.290215,36495.0,Hyde Park Ave @ Dellmore Rd
33,36495,0.0,0.2,2.7,time_period_10,-71.118265,42.290215,36495.0,Hyde Park Ave @ Dellmore Rd
33,46495,0.0,0.0,2.9,time_period_01,-71.118752,42.286822,46495.0,Hyde Park Ave opp Florian Street
33,46495,0.1,0.0,2.8,time_period_10,-71.118752,42.286822,46495.0,Hyde Park Ave opp Florian Street
33,56495,0.0,0.0,2.9,time_period_01,-71.119007,42.2850280000001,56495.0,Hyde Park Ave opp Mt Hope St
33,56495,0.0,0.2,2.6,time_period_10,-71.119007,42.2850280000001,56495.0,Hyde Park Ave opp Mt Hope St
33,76495,0.0,0.0,2.9,time_period_01,-71.11903,42.2830910000001,76495.0,515 Hyde Park Ave
33,76495,0.0,0.0,2.6,time_period_10,-71.11903,42.2830910000001,76495.0,515 Hyde Park Ave
33,6496,0.1,0.2,2.75,time_period_01,-71.119028,42.279888,6496.0,Hyde Park Ave @ Cummins Hwy
33,6496,0.0,0.8,1.8,time_period_10,-71.119028,42.279888,6496.0,Hyde Park Ave @ Cummins Hwy
33,6498,0.0,0.05,2.7,time_period_01,-71.1197,42.2768550000001,6498.0,Hyde Park Ave opp Ramsdell Ave
33,6498,0.0,0.1,1.7,time_period_10,-71.1197,42.2768550000001,6498.0,Hyde Park Ave opp Ramsdell Ave
33,6500,0.1,0.0,2.8,time_period_01,-71.1203,42.272702,6500.0,Hyde Park Ave opp American Legion Hwy
33,6500,0.1,0.2,1.6,time_period_10,-71.1203,42.272702,6500.0,Hyde Park Ave opp American Legion Hwy
33,16498,0.0,0.05,2.75,time_period_01,-71.120666,42.2704680000001,16498.0,Hyde Park Ave @ Metropolitan Ave
33,16498,0.0,0.0,1.6,time_period_10,-71.120666,42.2704680000001,16498.0,Hyde Park Ave @ Metropolitan Ave
33,6502,0.0,0.25,2.5,time_period_01,-71.121011,42.2681910000001,6502.0,Hyde Park Ave @ Willow Ave
33,6502,0.0,0.6,1.1,time_period_10,-71.121011,42.2681910000001,6502.0,Hyde Park Ave @ Willow Ave
33,6504,0.0,0.1,2.45,time_period_01,-71.1211719999999,42.265986,6504.0,Hyde Park Ave @ Greenwood Ave
33,6504,0.0,0.0,1.1,time_period_10,-71.1211719999999,42.265986,6504.0,Hyde Park Ave @ Greenwood Ave
33,6505,0.0,0.05,2.4,time_period_01,-71.12146,42.264119,6505.0,Hyde Park Ave @ Westminster St
33,6505,0.0,0.0,1.1,time_period_10,-71.12146,42.264119,6505.0,Hyde Park Ave @ Westminster St
33,6507,0.15,0.15,2.4,time_period_01,-71.1222999999999,42.261535,6507.0,Hyde Park Ave @ West St
33,6507,0.0,0.1,1.0,time_period_10,-71.1222999999999,42.261535,6507.0,Hyde Park Ave @ West St
33,6508,0.05,0.05,2.45,time_period_01,-71.123477,42.258967,6508.0,Hyde Park Ave opp Webster St
33,6508,0.0,0.0,1.0,time_period_10,-71.123477,42.258967,6508.0,Hyde Park Ave opp Webster St
33,6509,0.1,0.2,2.3,time_period_01,-71.1240109999999,42.256719,6509.0,Hyde Park Ave @ Winthrop St
33,6509,0.1,0.3,0.8,time_period_10,-71.1240109999999,42.256719,6509.0,Hyde Park Ave @ Winthrop St
33,185,4.85,0.0,4.85,time_period_02,,,,
33,185,19.2,0.0,19.2,time_period_03,,,,
33,185,13.5,0.0,13.5,time_period_03,,,,
33,185,5.825,0.0,5.825,time_period_04,,,,
33,185,7.325,0.075,7.325,time_period_05,,,,
33,185,6.525,0.05,6.525,time_period_06,,,,
33,185,5.1,0.15,5.1,time_period_07,,,,
33,185,3.86153846153846,0.0153846153846154,3.86153846153846,time_period_10,,,,
33,6368,1.7,0.0,6.55,time_period_02,-71.094318,42.267439,6368.0,River St @ Cummings Hwy
33,6368,7.6,0.1,26.7,time_period_03,-71.094318,42.267439,6368.0,River St @ Cummings Hwy
33,6368,7.1,0.2,20.4,time_period_03,-71.094318,42.267439,6368.0,River St @ Cummings Hwy
33,6368,6.55,0.075,12.3,time_period_04,-71.094318,42.267439,6368.0,River St @ Cummings Hwy
33,6368,6.85,0.2,14.025,time_period_05,-71.094318,42.267439,6368.0,River St @ Cummings Hwy
33,6368,7.525,0.15,13.95,time_period_06,-71.094318,42.267439,6368.0,River St @ Cummings Hwy
33,6368,4.25,0.1,9.55,time_period_07,-71.094318,42.267439,6368.0,River St @ Cummings Hwy
33,6368,3.91538461538462,0.0923076923076923,7.7,time_period_10,-71.094318,42.267439,6368.0,River St @ Cummings Hwy
33,16369,0.25,0.0,6.7,time_period_02,-71.097269,42.266533,16369.0,River St @ Violante St
33,16369,0.6,0.0,27.4,time_period_03,-71.097269,42.266533,16369.0,River St @ Violante St
33,16369,0.266666666666667,0.0,20.6,time_period_03,-71.097269,42.266533,16369.0,River St @ Violante St
33,16369,0.525,0.05,12.825,time_period_04,-71.097269,42.266533,16369.0,River St @ Violante St
33,16369,0.25,0.0,14.525,time_period_05,-71.097269,42.266533,16369.0,River St @ Violante St
33,16369,0.475,0.025,14.625,time_period_06,-71.097269,42.266533,16369.0,River St @ Violante St
33,16369,0.35,0.1,9.85,time_period_07,-71.097269,42.266533,16369.0,River St @ Violante St
33,16369,1.1,0.0384615384615385,8.93076923076923,time_period_10,-71.097269,42.266533,16369.0,River St @ Violante St
33,6369,0.25,0.05,6.95,time_period_02,-71.099618,42.264916,6369.0,River St @ Caton St
33,6369,1.3,0.0,28.7,time_period_03,-71.099618,42.264916,6369.0,River St @ Caton St
33,6369,0.566666666666667,0.0666666666666667,21.1,time_period_03,-71.099618,42.264916,6369.0,River St @ Caton St
33,6369,0.25,0.225,12.85,time_period_04,-71.099618,42.264916,6369.0,River St @ Caton St
33,6369,0.2,0.65,14.125,time_period_05,-71.099618,42.264916,6369.0,River St @ Caton St
33,6369,0.325,0.4,14.375,time_period_06,-71.099618,42.264916,6369.0,River St @ Caton St
33,6369,0.1,0.3,9.7,time_period_07,-71.099618,42.264916,6369.0,River St @ Caton St
33,6369,0.284615384615385,0.192307692307692,8.93076923076923,time_period_10,-71.099618,42.264916,6369.0,River St @ Caton St
33,6371,0.3,0.25,7.0,time_period_02,-71.102855,42.2636350000001,6371.0,River St opp Wachusett St
33,6371,1.9,0.6,30.0,time_period_03,-71.102855,42.2636350000001,6371.0,River St opp Wachusett St
33,6371,0.833333333333333,0.733333333333333,21.2666666666667,time_period_03,-71.102855,42.2636350000001,6371.0,River St opp Wachusett St
33,6371,0.7,0.975,12.575,time_period_04,-71.102855,42.2636350000001,6371.0,River St opp Wachusett St
33,6371,0.475,1.7,12.9,time_period_05,-71.102855,42.2636350000001,6371.0,River St opp Wachusett St
33,6371,0.375,2.125,12.575,time_period_06,-71.102855,42.2636350000001,6371.0,River St opp Wachusett St
33,6371,0.35,1.4,8.3,time_period_07,-71.102855,42.2636350000001,6371.0,River St opp Wachusett St
33,6371,0.369230769230769,0.9,8.37692307692308,time_period_10,-71.102855,42.2636350000001,6371.0,River St opp Wachusett St
33,6372,0.5,0.1,7.4,time_period_02,-71.105151,42.2635910000001,6372.0,River St @ Tileston St
33,6372,0.2,0.2,30.0,time_period_03,-71.105151,42.2635910000001,6372.0,River St @ Tileston St
33,6372,0.433333333333333,0.233333333333333,21.4666666666667,time_period_03,-71.105151,42.2635910000001,6372.0,River St @ Tileston St
33,6372,0.225,0.475,12.35,time_period_04,-71.105151,42.2635910000001,6372.0,River St @ Tileston St
33,6372,0.6,0.575,12.95,time_period_05,-71.105151,42.2635910000001,6372.0,River St @ Tileston St
33,6372,0.2,1.025,11.775,time_period_06,-71.105151,42.2635910000001,6372.0,River St @ Tileston St
33,6372,0.1,0.95,7.55,time_period_07,-71.105151,42.2635910000001,6372.0,River St @ Tileston St
33,6372,0.192307692307692,0.384615384615385,8.18461538461538,time_period_10,-71.105151,42.2635910000001,6372.0,River St @ Tileston St
33,6373,0.65,0.55,7.5,time_period_02,-71.107674,42.263048,6373.0,River St @ George St
33,6373,0.6,1.5,29.0,time_period_03,-71.107674,42.263048,6373.0,River St @ George St
33,6373,0.566666666666667,1.2,20.8333333333333,time_period_03,-71.107674,42.263048,6373.0,River St @ George St
33,6373,1.15,1.6,11.925,time_period_04,-71.107674,42.263048,6373.0,River St @ George St
33,6373,1.475,1.7,12.75,time_period_05,-71.107674,42.263048,6373.0,River St @ George St
33,6373,0.55,1.75,10.675,time_period_06,-71.107674,42.263048,6373.0,River St @ George St
33,6373,0.4,1.0,6.95,time_period_07,-71.107674,42.263048,6373.0,River St @ George St
33,6373,0.623076923076923,1.29230769230769,7.54615384615385,time_period_10,-71.107674,42.263048,6373.0,River St @ George St
33,6374,0.05,1.45,6.15,time_period_02,-71.111146,42.2616570000001,6374.0,River St @ Reddy Ave
33,6374,1.0,8.5,21.7,time_period_03,-71.111146,42.2616570000001,6374.0,River St @ Reddy Ave
33,6374,0.7,4.9,16.6666666666667,time_period_03,-71.111146,42.2616570000001,6374.0,River St @ Reddy Ave
33,6374,1.1,0.475,12.525,time_period_04,-71.111146,42.2616570000001,6374.0,River St @ Reddy Ave
33,6374,6.85,0.7,18.9,time_period_05,-71.111146,42.2616570000001,6374.0,River St @ Reddy Ave
33,6374,1.825,0.55,11.9,time_period_06,-71.111146,42.2616570000001,6374.0,River St @ Reddy Ave
33,6374,0.7,0.3,7.3,time_period_07,-71.111146,42.2616570000001,6374.0,River St @ Reddy Ave
33,6374,0.446153846153846,0.507692307692308,7.5,time_period_10,-71.111146,42.2616570000001,6374.0,River St @ Reddy Ave
