stop_id,route_id,average_ons,average_offs,average_load,X,Y,Stop_ID,Stop_Name
1346,32,38.9,0.0,38.9,-71.08655,42.3171340000001,1346.0,Humboldt Ave @ Townsend St
1350,32,0.0,0.1,38.8,-71.0883219999999,42.3146990000001,1350.0,Humboldt Ave @ Waumbeck St
1351,32,0.0,0.1,38.7,-71.089559,42.313142,1351.0,Humboldt Ave @ Crawford St
1352,32,0.1,0.0,38.3,-71.090502,42.31199,1352.0,Humboldt Ave @ Homestead St
1353,32,0.0,0.0,38.3,-71.091087,42.3112370000001,1353.0,Humboldt Ave @ Hutchings St
1354,32,0.0,0.0,38.3,-71.092009,42.3100860000001,1354.0,Humboldt Ave @ Seaver St
17411,32,0.0,0.0,38.3,-71.092111,42.3096820000001,17411.0,Seaver St opp Humboldt Ave
17401,32,0.0,0.1,38.2,-71.089263,42.3075150000001,17401.0,Seaver St opp Elm Hill Ave
17391,32,0.0,0.0,38.2,-71.087686,42.3066370000001,17391.0,Seaver St opp Maple St
1587,32,0.1,0.1,38.2,-71.08595,42.303124,1587.0,Franklin Park Zoo @ Entrance
11587,32,0.1,0.1,38.2,-71.094725,42.305236,11587.0,Circuit Dr @ Glen Ln
21587,32,0.0,0.0,38.2,-71.102447,42.300863,21587.0,Circuit Dr opp Shattuck Hospital
547,32,0.0,0.1,38.5,-71.107136,42.301072,547.0,Arborway opp Courthouse
11780,32,21.7,0.0,21.7,-71.102233,42.338443,11780.0,Ave Louis Pasteur @ Longwood Ave
91391,32,0.2,0.2,21.7,-71.100251,42.3360460000001,91391.0,Huntington Ave @ Longwood Ave
92391,32,0.1,0.1,22.2,-71.102717,42.335111,92391.0,677 Huntington Ave
1363,32,0.0,0.0,22.2,-71.105717,42.333739,1363.0,Huntington Ave @ Fenwood Rd
1365,32,0.1,0.1,22.2,-71.109273,42.3332800000001,1365.0,835 Huntington Ave opp Parker Hill Ave
21365,32,0.0,0.0,22.2,-71.112061,42.331803,21365.0,S Huntington Ave @ Huntington Ave
22365,32,0.0,0.1,22.1,-71.111046,42.329368,22365.0,105 S Huntington Ave
31365,32,0.0,0.0,22.1,-71.111437,42.326625,31365.0,S Huntington Ave opp VA Hospital
51365,32,0.0,0.0,22.2,-71.1123269999999,42.323986,51365.0,S Huntington Ave @ Bynner St
61365,32,0.0,0.3,21.9,-71.112195,42.32172,61365.0,S Huntington Ave @ Perkins St
1160,32,0.1,0.0,22.0,-71.111729,42.319618,1160.0,S Huntington Ave @ Moraine St
1161,32,0.3,0.3,22.0,-71.1132289999999,42.3173650000001,1161.0,Centre St @ Lochstead Ave
1164,32,0.3,0.4,21.8,-71.11416,42.3133060000001,1164.0,Centre St @ Myrtle St
11164,32,0.0,0.1,21.7,-71.1145,42.311466,11164.0,Centre St @ Burroughs St
1939,32,0.0,0.1,21.6,-71.1153449999999,42.3099490000001,1939.0,775 Centre St
2006,32,0.2,0.1,21.7,-71.115091,42.3061310000001,2006.0,South St @ Jamaica St
2007,32,0.2,0.0,21.8,-71.114769,42.3043960000001,2007.0,South St @ St Rose St
875,32,14.505878455513262,0.65,17.258353988150557,-71.1146607,42.3006397,875.0,Forest Hills Station
6495,32,0.20350356152562032,0.183625328284642,17.2820663672747,-71.116225,42.296229,6495.0,Hyde Park Ave opp Walk Hill St
26495,32,0.12290378339888147,0.3385419418090987,17.13821858923574,-71.1177959999999,42.2930490000001,26495.0,Hyde Park Ave opp Eldridge Rd
36495,32,0.13347668916051272,0.2961645363532618,16.97360005408535,-71.118265,42.290215,36495.0,Hyde Park Ave @ Dellmore Rd
46495,32,0.12663172203613376,0.5301037133708701,16.562556661747838,-71.118752,42.286822,46495.0,Hyde Park Ave opp Florian Street
56495,32,0.2820067161415202,0.7111502775546898,16.126837316369173,-71.119007,42.2850280000001,56495.0,Hyde Park Ave opp Mt Hope St
76495,32,0.07077755532412393,0.22118322409253777,15.974007473554046,-71.11903,42.2830910000001,76495.0,515 Hyde Park Ave
6496,32,0.5708575276393903,1.1629784266205836,15.371212481599738,-71.119028,42.279888,6496.0,Hyde Park Ave @ Cummins Hwy
6498,32,0.11751056351056348,0.2980096490292568,15.185321023838181,-71.1197,42.2768550000001,6498.0,Hyde Park Ave opp Ramsdell Ave
6500,32,0.17719856532356523,0.42387441879108545,14.950965022631689,-71.1203,42.272702,6500.0,Hyde Park Ave opp American Legion Hwy
16498,32,0.12830718165276994,0.5859471913344463,14.493035314268155,-71.120666,42.2704680000001,16498.0,Hyde Park Ave @ Metropolitan Ave
