stop_id,route_id,average_ons,average_offs,average_load,X,Y,Stop_ID,Stop_Name
185,245,4.05,0.0,4.3375,,,,
4355,245,0.05,0.0,4.3875,-71.094304,42.264778,4355.0,Blue Hills Pkwy @ Blue Hill Ave
43551,245,0.1375,0.0875,4.4,-71.093815,42.262972,43551.0,Blue Hills Pkwy @ Austin St
4358,245,0.0625,0.0,4.4375,-71.090076,42.262473,4358.0,Brook Rd @ Saint Marys Rd
4359,245,0.0,0.0,4.4375,-71.088562,42.261738,4359.0,Opp 250 Brook Rd
4360,245,0.0125,0.025,4.425,-71.086537,42.2607560000001,4360.0,Brook Rd opp Windsor Rd
4362,245,0.07500000000000001,0.0,4.5125,-71.084547,42.259238,4362.0,Brook Rd @ Lincoln St
4144,245,0.07500000000000001,0.0,4.574999999999999,-71.081128,42.257995,4144.0,Reedsdale Rd @ Central Ave
4145,245,0.0,0.0,4.5875,-71.078941,42.255817,4145.0,Reedsdale Rd @ Walnut St
4146,245,0.0625,0.0,4.6125,-71.077679,42.2545940000001,4146.0,Reedsdale Rd @ Canton Ave
4147,245,0.0875,0.0,4.6875,-71.076806,42.2536880000001,4147.0,opp 182 Reedsdale Rd @ MIlton Hospital
4149,245,0.0,0.0,4.7,-71.073788,42.250905,4149.0,Reedsdale Rd @ Spafford Rd
4152,245,0.075,0.15,4.6,-71.071331,42.248902,4152.0,Reedsdale Rd @ Clifton Rd
4364,245,0.025,0.05,4.6,-71.069021,42.2484690000001,4364.0,Reedsdale Rd @ Randolph Ave
4365,245,0.0,0.0,4.575,-71.0673619999999,42.247533,4365.0,Pleasant St @ Reedsdale Rd
4366,245,0.07500000000000001,0.0,4.6125,-71.065739,42.24877,4366.0,Pleasant St @ Bailey Ave
4367,245,0.0,0.0,4.625,-71.064182,42.249623,4367.0,Pleasant St @ Mathaurs St
4368,245,0.25,0.0,4.9,-71.060399,42.250775,4368.0,Pleasant St @ Nancy Rd
4370,245,0.0,0.025,4.8375,-71.057857,42.250883,4370.0,Pleasant St @ Horton Pl
4371,245,0.175,0.0625,4.975,-71.055127,42.251468,4371.0,Pleasant St @ Lawrence Rd
4372,245,0.025,0.0,5.0,-71.0523459999999,42.253002,4372.0,Opp 80 Edge Hill Rd
4373,245,0.175,0.0,5.175,-71.049864,42.2545840000001,4373.0,Edge Hill Rd opp Westvale Rd
4375,245,0.0,0.0,5.175,-71.048344,42.25541,4375.0,Edge Hill Rd @ Cedar Rd
4376,245,0.0,0.0,5.175,-71.0460669999999,42.2561220000001,4376.0,Edge Hill Rd @ Huntington Rd
4378,245,0.0,0.05,5.1125,-71.042794,42.2572190000001,4378.0,Edge Hill Rd @ Grafton Ave
3391,245,0.0625,0.15,5.0,-71.039704,42.257936,3391.0,Adams St @ Mechanic St
3392,245,0.025,0.0,5.05,-71.037727,42.2575130000001,3392.0,Adams St @ Foster Ln
3393,245,0.025,0.125,4.95,-71.0356879999999,42.2569070000001,3393.0,Adams St @ Pilgrim Rd
3394,245,0.0,0.05,4.8875,-71.033739,42.2563030000001,3394.0,Adams St @ Stedman St
4379,245,0.0875,0.0,4.9875,-71.032456,42.255876,4379.0,Adams St @ Robertson St
4380,245,0.0125,0.0,5.0,-71.0313399999999,42.2555140000001,4380.0,Adams St @ Campbell St
4381,245,0.0,0.0,5.0,-71.029888,42.255031,4381.0,Adams St @ White St
4382,245,0.125,0.0,5.125,-71.028377,42.2545390000001,4382.0,Adams St @ Alrick Rd
4383,245,0.07500000000000001,0.0125,5.1875,-71.026557,42.2539770000001,4383.0,Adams St @ Adams Plaza
14383,245,0.05,0.0125,5.199999999999999,-71.025077,42.2527440000001,14383.0,Common St @ Hilltop St
23402,245,0.175,0.0,5.4125,-71.025345,42.2500860000001,23402.0,Quarry St @ Common St
23403,245,0.975,0.25,6.112500000000001,-71.022007,42.2489800000001,23403.0,270 Quarry St
23404,245,0.07500000000000001,0.0625,6.1375,-71.016454,42.246293,23404.0,150 Quarry St
23406,245,0.1,0.0375,6.175,-71.010231,42.244334,23406.0,Granite St @ Packards Lane
23407,245,0.0,0.1,6.1,-71.005798,42.2462830000001,23407.0,Opp 125 Granite St
4314,245,0.1125,1.0625,5.15,-71.0056739999999,42.2479670000001,4314.0,Whitwell St @ Dixwell Ave
4315,245,0.025,0.0,5.1625,-71.00807,42.2485810000001,4315.0,Whitwell St @ Glendale Rd
4316,245,0.0,0.0,5.1625,-71.0095709999999,42.248975,4316.0,Whitwell St @ Maywood Ave
4317,245,0.0,0.0,5.1625,-71.011428,42.2494740000001,4317.0,198 Whitwell St
4318,245,0.25,0.0625,5.3125,-71.012464,42.2497470000001,4318.0,Whitwell St @ Roselin Ave
4319,245,0.325,0.0125,5.6125,-71.014901,42.250523,4319.0,Whitwell St opp Farrell St
4320,245,0.27499999999999997,0.0125,5.8875,-71.016004,42.2510550000001,4320.0,52 Whitwell St
14320,245,0.275,0.0,6.1625000000000005,-71.0172919999999,42.253069,14320.0,Adams St @ Whitwell St
3199,245,0.07500000000000001,0.2,6.075,-71.008922,42.255884,3199.0,Adams St opp Alleyne St
3035,245,0.3,0.0,11.0,-71.0071839999999,42.256168,3035.0,Hancock St opp Merrymount Rd
3036,245,0.0,0.7,10.4,-71.0064379999999,42.255179,3036.0,Hancock St opp Greenleaf St
32001,245,0.0,5.800000000000001,0.15000000000000002,,,,
