stop_id,route_id,average_ons,average_offs,average_load,X,Y,Stop_ID,Stop_Name
903,556,2.88,0.0,3.07,-71.185943,42.357134,903.0,Washington St @ Bacon St
7640,556,0.04,0.030000000000000006,3.1,-71.190037,42.3559950000001,7640.0,Washington St @ Hovey St
7641,556,0.02,0.02,3.12,-71.191748,42.355577,7641.0,Washington St @ Jewett St
7642,556,0.06999999999999999,0.24,2.96,-71.195895,42.3548500000001,7642.0,Washington St @ Adams St
7643,556,0.12000000000000002,0.06000000000000001,3.05,-71.199044,42.353978,7643.0,Washington St @ Craft St
7644,556,0.05,0.42000000000000004,2.6799999999999997,-71.202143,42.3527920000001,7644.0,Washington St @ Court St
8167,556,0.72,0.32,3.09,-71.20733,42.3517790000001,8167.0,Walnut St @ Washington St
8168,556,0.0,0.02,3.06,-71.208007,42.3534790000001,8168.0,Walnut St @ Page Rd
81681,556,0.04,0.15,2.9699999999999998,-71.208921,42.355759,81681.0,Walnut St @ Watertown St
81682,556,0.02,0.02,2.95,-71.210799,42.3577700000001,81682.0,Walnut St @ Linwood Ave
81683,556,0.0,0.04,2.92,-71.213104,42.359477,81683.0,Crafts St @ California St
81685,556,0.06999999999999999,0.13,2.87,-71.216606,42.359881,81685.0,Crafts St @ Albemarle St
81686,556,0.02,0.42000000000000004,2.46,-71.2219499999999,42.3603360000001,81686.0,Crafts St @ Harding St
81687,556,0.0,0.09,2.38,-71.223558,42.3614670000001,81687.0,Waltham St @ Lodge Rd
81688,556,0.01,0.08,2.29,-71.2254569999999,42.3631270000001,81688.0,Waltham St @ Hazelhurst Ave
7752,556,0.05,0.06999999999999999,2.2800000000000002,-71.226437,42.364111,7752.0,High St @ Hamblin Rd
77521,556,0.2,0.07999999999999999,2.37,-71.228447,42.3656360000001,77521.0,High St @ Cedar St
7753,556,0.1,0.08,2.38,-71.229636,42.366136,7753.0,High St @ Pamenter Rd
7754,556,0.01,0.08,2.31,-71.2316309999999,42.36692,7754.0,High St @ Newton St
77541,556,0.0,0.04,2.27,-71.2331799999999,42.367239,77541.0,High St @ Gardner St
7755,556,0.02,0.18,2.1100000000000003,-71.235543,42.3675850000001,7755.0,High St @ Hall St
77551,556,0.02,0.19999999999999998,1.89,,,,
7845,556,0.02,0.15,1.7899999999999998,-71.242263,42.3685360000001,7845.0,Crescent St @ Maple St
7846,556,0.0,0.05,1.73,-71.2405689999999,42.370165,7846.0,Crescent St @ Walnut St
17846,556,0.0,0.09,1.6800000000000002,,,,
76597,556,0.0,0.13,1.55,-71.236758,42.371852,76597.0,Moody St @ Pine St
86971,556,0.0,0.13,1.42,-71.2366059999999,42.3726500000001,86971.0,Moody St @ Carter St
86944,556,0.22000000000000003,0.6900000000000001,0.99,-71.234544,42.3746870000001,86944.0,Carter St @ Waltham Comm Rail Sta
7859,556,0.030000000000000006,0.05,0.95,-71.2355919999999,42.37802,7859.0,School St @ Lexington St
7861,556,0.01,0.06999999999999999,0.9199999999999999,-71.236188,42.3807550000001,7861.0,Lexington St opp Shopping Plaza
7862,556,0.01,0.06000000000000001,0.85,-71.2370989999999,42.3831720000001,7862.0,Dale St @ Lexington St
7864,556,0.04,0.09,0.8400000000000001,-71.241274,42.38404,7864.0,Dale St @ Bacon St
7721,556,0.0,0.0,0.8300000000000001,-71.2437219999999,42.384625,7721.0,Dale St opp Caughey St
7722,556,0.0,0.0,0.8300000000000001,-71.245212,42.385029,7722.0,Dale St @ Claremont St
7723,556,0.0,0.0,0.7899999999999999,-71.248774,42.3856510000001,7723.0,Tomlin St @ Dale St
7724,556,0.0,0.64,0.16999999999999998,-71.248956,42.383613,7724.0,Tomlin St @ Summit St
