lambda,n_stops,co2,profit,co2_pct_reduction,profit_pct_decrease
0.0,18.0,18.749130144485495,13.778693881754071,44.6,27.5
0.05,18.0,18.749130144485495,13.778693881754071,44.6,27.5
0.1,18.0,18.749130144485466,13.778693881754071,44.6,27.5
0.15,18.0,18.7491301444855,13.778693881754071,44.6,27.5
0.2,18.0,18.7491301444855,13.778693881754071,44.6,27.5
0.25,18.0,18.749130144485534,13.778693881754071,44.6,27.5
0.3,18.0,18.749130144485527,13.778693881754071,44.6,27.5
0.35,18.0,18.749130144485505,13.778693881754071,44.6,27.5
0.4,18.0,18.749130144485452,13.778693881754071,44.6,27.5
0.45,18.0,18.7491301444855,13.778693881754071,44.6,27.5
0.5,18.0,18.7491301444855,13.778693881754071,44.6,27.5
0.55,20.0,20.7924366664615,15.725302660772991,38.6,17.3
0.6,21.0,21.819874155185687,16.446556982145886,35.5,13.5
0.65,21.0,21.819874155185747,16.446556982145886,35.5,13.5
0.7,22.0,22.816673868929218,16.87943357872854,32.6,11.2
0.75,24.0,24.83224821098491,17.628062610343893,26.6,7.3
0.8,24.0,24.83224821098488,17.628062610343893,26.6,7.3
0.85,26.0,26.836475474407994,18.062901539349784,20.7,5.0
0.9,28.0,28.865974173826583,18.371762710420125,14.7,3.4
0.95,30.0,30.862705230540104,18.56352408508279,8.8,2.4
1.0,30.0,30.862705230540215,18.56352408508279,8.8,2.4
