lambda,n_stops,co2,profit,co2_pct_reduction,profit_pct_decrease
0.0,10.0,10.60806768067988,14.50994081463431,67.5,33.9
0.05,10.0,10.658849933701765,15.67281152062815,67.3,28.6
0.1,10.0,10.800894371183503,17.857858659508576,66.9,18.6
0.15,10.0,10.800894371183503,17.857858659508576,66.9,18.6
0.2,10.0,10.800894371183498,17.857858659508576,66.9,18.6
0.25,10.0,10.800894371183432,17.857858659508576,66.9,18.6
0.3,10.0,10.800894371183503,17.857858659508576,66.9,18.6
0.35,10.0,10.800894371183505,17.857858659508576,66.9,18.6
0.4,10.0,10.800894371183503,17.857858659508576,66.9,18.6
0.45,10.0,10.800894371183501,17.857858659508576,66.9,18.6
0.5,10.0,10.800894371183555,17.857858659508576,66.9,18.6
0.55,10.0,10.800894371183503,17.857858659508576,66.9,18.6
0.6,11.0,11.932941172624012,18.661832243967233,63.4,14.9
0.65,11.0,11.932941172624016,18.661832243967233,63.4,14.9
0.7,11.0,11.93294117262402,18.661832243967233,63.4,14.9
0.75,13.0,13.84759816295801,19.453667798338234,57.6,11.3
0.8,16.0,16.822886220113297,20.339420063796656,48.4,7.3
0.85,19.0,19.78291564709839,20.965353491894263,39.4,4.4
0.9,23.0,23.751573435008027,21.52178384015297,27.2,1.9
0.95,26.0,26.7548733619681,21.79894091193691,18.0,0.6
1.0,28.0,28.72205486974407,21.87684306782414,12.0,0.3
