lambda,n_stops,co2,profit,co2_pct_reduction,profit_pct_decrease
0.0,14.0,14.62097116463868,13.72984747490211,43.1,20.1
0.05,14.0,14.620971164638684,13.72984747490211,43.1,20.1
0.1,14.0,14.620971164638675,13.72984747490211,43.1,20.1
0.15,14.0,14.62097116463868,13.72984747490211,43.1,20.1
0.2,14.0,14.620971164638675,13.72984747490211,43.1,20.1
0.25,14.0,14.620971164638668,13.72984747490211,43.1,20.1
0.3,14.0,14.62097116463868,13.72984747490211,43.1,20.1
0.35,14.0,14.620971164638679,13.72984747490211,43.1,20.1
0.4,14.0,14.620971164638679,13.72984747490211,43.1,20.1
0.45,14.0,14.620971164638673,13.72984747490211,43.1,20.1
0.5,16.0,16.700801207520183,16.028186148782684,35.0,6.7
0.55,16.0,16.700801207520183,16.028186148782684,35.0,6.7
0.6,16.0,16.700801207520183,16.028186148782684,35.0,6.7
0.65,16.0,16.70080120752018,16.028186148782684,35.0,6.7
0.7,17.0,17.70444059553611,16.53670261820977,31.1,3.8
0.75,17.0,17.70444059553611,16.53670261820977,31.1,3.8
0.8,18.0,18.700742595321213,16.818330870013064,27.3,2.1
0.85,18.0,18.70074259532122,16.818330870013064,27.3,2.1
0.9,18.0,18.700742595321216,16.818330870013064,27.3,2.1
0.95,22.0,22.733467023956674,17.11079679541511,11.6,0.4
1.0,23.0,23.735301330571914,17.155802978624,7.7,0.2
