lambda,n_stops,co2,profit,co2_pct_reduction,profit_pct_decrease
0.0,23.0,24.279044664933842,23.164681594860166,43.7,31.1
0.05,23.0,24.27904466493371,23.164681594860166,43.7,31.1
0.1,23.0,24.279044664933405,23.164681594860166,43.7,31.1
0.15,23.0,24.27904466493352,23.164681594860166,43.7,31.1
0.2,23.0,24.279044664933842,23.164681594860166,43.7,31.1
0.25,24.0,25.324827940369012,26.9208664021164,41.3,19.9
0.3,24.0,25.324827940369012,26.9208664021164,41.3,19.9
0.35,24.0,25.534447476399933,27.331705404383975,40.8,18.7
0.4,24.0,25.534447476399514,27.331705404383975,40.8,18.7
0.45,26.0,27.596994275973813,30.167853363567648,36.0,10.2
0.5,26.0,27.596994275974378,30.167853363567648,36.0,10.2
0.55,26.0,27.596994275974378,30.167853363567648,36.0,10.2
0.6,27.0,28.629149594119003,30.934667422524562,33.6,7.9
0.65,27.0,28.629149594118996,30.934667422524562,33.6,7.9
0.7,30.0,31.539698356827984,32.296966175359024,26.9,3.9
0.75,30.0,31.539698356827692,32.296966175359024,26.9,3.9
0.8,31.0,32.56419581136429,32.559760959939524,24.5,3.1
0.85,33.0,34.535607847388135,32.98530234315948,19.9,1.8
0.9,37.0,38.56878714086689,33.56633125472411,10.6,0.1
0.95,37.0,38.56878714086699,33.56633125472411,10.6,0.1
1.0,39.0,40.56356523737835,33.59966458805744,5.9,0.0
