lambda,n_stops,co2,profit,co2_pct_reduction,profit_pct_decrease
0.0,3.0,3.819311388925573,13.736418824859257,85.1,20.1
0.05,3.0,3.8193113889255947,13.736418824859257,85.1,20.1
0.1,3.0,3.8193113889255943,13.736418824859257,85.1,20.1
0.15,3.0,3.8193113889255943,13.736418824859257,85.1,20.1
0.2,3.0,3.8193113889255947,13.736418824859257,85.1,20.1
0.25,3.0,3.8193113889255943,13.736418824859257,85.1,20.1
0.3,3.0,3.8193113889255947,13.736418824859257,85.1,20.1
0.35,3.0,3.8193113889255947,13.736418824859257,85.1,20.1
0.4,3.0,3.8193113889255947,13.736418824859257,85.1,20.1
0.45,3.0,3.8193113889255947,13.736418824859257,85.1,20.1
0.5,3.0,3.8193113889255947,13.736418824859257,85.1,20.1
0.55,3.0,3.8193113889255947,13.736418824859257,85.1,20.1
0.6,3.0,3.8193113889255947,13.736418824859257,85.1,20.1
0.65,6.0,6.814082953801255,15.585548759086489,73.5,9.3
0.7,6.0,6.814082953801232,15.585548759086489,73.5,9.3
0.75,6.0,6.814082953801235,15.585548759086489,73.5,9.3
0.8,9.0,9.82020588055357,16.413910394025464,61.8,4.5
0.85,9.0,9.820205880553564,16.413910394025464,61.8,4.5
0.9,12.0,12.74660843903667,16.739392767258696,50.4,2.6
0.95,14.0,14.74644164664042,16.895944854608317,42.6,1.7
1.0,23.0,23.736831372426728,17.1710799610086,7.7,0.1
