lambda,n_stops,co2,profit,co2_pct_reduction,profit_pct_decrease
0.0,11.0,15.416589339461595,39.73748422847505,76.4,42.8
0.05,11.0,15.449589280814084,41.549591096890296,76.4,40.2
0.1,11.0,15.449589280814262,41.549591096890296,76.4,40.2
0.15,11.0,15.569554885808376,42.36929322522412,76.2,39.0
0.2,11.0,15.6732923369246,42.847291826957935,76.1,38.3
0.25,11.0,15.673292336924508,42.847291826957935,76.1,38.3
0.3,11.0,15.673292336924643,42.847291826957935,76.1,38.3
0.35,12.0,17.098864582077205,46.012696106531735,73.9,33.8
0.4,13.0,17.984753937653462,47.49190050442387,72.5,31.7
0.45,15.0,20.36731708911024,51.02699928913737,68.9,26.6
0.5,17.0,22.648008059953646,53.33071786369966,65.4,23.3
0.55,19.0,24.940186053486457,55.266376611344704,61.9,20.5
0.6,25.0,30.73960111805479,59.61635802478735,53.0,14.2
0.65,29.0,34.84646861279658,62.05504564994758,46.8,10.7
0.7,32.0,37.533078538779506,63.30129599699572,42.7,8.9
0.75,39.0,44.96105022654102,65.9042316975147,31.3,5.2
0.8,39.0,44.96105022654087,65.9042316975147,31.3,5.2
0.85,43.0,48.438087606004544,66.63113379719077,26.0,4.1
0.9,43.0,48.4380876060028,66.63113379719077,26.0,4.1
0.95,49.0,54.22108281005066,67.11375880876192,17.2,3.4
1.0,52.0,57.243628319035146,67.15737598876609,12.5,3.4
