lambda,n_stops,co2,profit,co2_pct_reduction,profit_pct_decrease
0.0,12.0,12.573958242195587,7.6224197515271985,46.8,31.3
0.05,12.0,12.57395824219563,7.6224197515271985,46.8,31.3
0.1,12.0,12.573958242195609,7.6224197515271985,46.8,31.3
0.15,12.0,12.573958242195609,7.6224197515271985,46.8,31.3
0.2,12.0,12.573958242195623,7.6224197515271985,46.8,31.3
0.25,12.0,12.573958242195609,7.6224197515271985,46.8,31.3
0.3,12.0,12.573958242195628,7.6224197515271985,46.8,31.3
0.35,12.0,12.573958242195609,7.6224197515271985,46.8,31.3
0.4,13.0,13.626426617178424,9.4019790461028,42.4,15.2
0.45,13.0,13.626426617178424,9.4019790461028,42.4,15.2
0.5,13.0,13.626426617178424,9.4019790461028,42.4,15.2
0.55,14.0,14.810609135585162,10.43159238717481,37.3,6.0
0.6,14.0,14.810609135585144,10.43159238717481,37.3,6.0
0.65,14.0,14.810609135585144,10.43159238717481,37.3,6.0
0.7,14.0,14.810609135585144,10.43159238717481,37.3,6.0
0.75,14.0,14.810609135585164,10.43159238717481,37.3,6.0
0.8,15.0,15.69570270120589,10.67124654463447,33.6,3.8
0.85,15.0,15.695702701205885,10.67124654463447,33.6,3.8
0.9,16.0,16.68456739366258,10.785381452947748,29.4,2.8
0.95,18.0,18.66680844805906,10.97968330730386,21.0,1.0
1.0,20.0,20.647956963379894,11.002087297907922,12.7,0.8
