stop_id,route_id,average_ons,average_offs,average_load,X,Y,Stop_ID,Stop_Name,lambda_0.0,lambda_0.05,lambda_0.1,lambda_0.15,lambda_0.2,lambda_0.25,lambda_0.3,lambda_0.35,lambda_0.4,lambda_0.45,lambda_0.5,lambda_0.55,lambda_0.6,lambda_0.65,lambda_0.7,lambda_0.75,lambda_0.8,lambda_0.85,lambda_0.9,lambda_0.95,lambda_1.0
11780,57,0.9,0.0,1.8,-71.102233,42.338443,11780.0,Ave Louis Pasteur @ Longwood Ave,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11781,57,21.45,1.75,23.1,-71.100839,42.3402330000001,11781.0,Ave Louis Pasteur @ The Fenway,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1807,57,0.3,0.0,24.25,-71.1042659999999,42.3452140000001,1807.0,Park Dr @ Fenway Station,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
1808,57,0.1,0.0,24.35,-71.105198,42.3471000000001,1808.0,Park Dr @ Beacon St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1809,57,0.1,0.05,24.35,-71.105903,42.3483130000001,1809.0,Park Dr @ Mountfort St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
899,57,9.791324179946464,0.0,9.999328238711781,-71.0975506,42.348802,899.0,Kenmore Station Busway,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
951,57,1.6136387713967981,0.05393718313829501,11.576472170731003,-71.10074,42.349458,951.0,Commonwealth Ave @ Silber Way,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
952,57,1.0781002332118452,0.07326365138650745,12.610366313523679,-71.103801,42.349831,952.0,Commonwealth Ave @ Granby St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
953,57,1.584964667785419,0.0950313542715318,14.0866669549288,-71.1066299999999,42.3501620000001,953.0,Commonwealth Ave @ St Mary's St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
954,57,1.2008916005962527,0.0913250662095148,15.196171295432912,-71.108831,42.3504530000001,954.0,Commonwealth Ave @ University Rd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
956,57,1.0531288754236499,0.7265633862104741,16.229558440672914,-71.115933,42.3513100000001,956.0,Commonwealth Ave @ Buick St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
958,57,0.7185881370435611,0.8497455057352348,16.079338795506228,-71.1214409999999,42.35197,958.0,Commonwealth Ave @ Babcock St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
959,57,0.7658315118489637,0.5694041682622655,16.290200392347984,-71.1235149999999,42.352224,959.0,1079 Commonwealth Ave,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
960,57,0.4266420248523359,0.3488995683990698,16.410434572607286,-71.126222,42.3524330000001,960.0,19 Brighton Ave,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
962,57,0.48333328839312084,1.2002481496144244,15.685217147000062,-71.130286,42.3529080000001,962.0,Brighton Ave @ Linden St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
964,57,2.7944748158923463,1.5871021200135687,16.883335191489365,-71.133875,42.353344,964.0,Brighton Ave opp Quint Ave,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
966,57,1.6135628172518877,1.7822170017191954,16.747662904562088,-71.1379479999999,42.353442,966.0,Cambridge St @ N Beacon St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
