lambda,n_stops,co2,profit,co2_pct_reduction,profit_pct_decrease
0.0,14.0,14.48943487577419,19.483731005636663,41.9,40.8
0.05,14.0,14.700440618334865,24.568294472091022,41.1,25.3
0.1,14.0,14.700440618334865,24.568294472091022,41.1,25.3
0.15,14.0,14.700440618334872,24.568294472091022,41.1,25.3
0.2,14.0,14.70044061833486,24.568294472091022,41.1,25.3
0.25,14.0,14.70044061833487,24.568294472091022,41.1,25.3
0.3,14.0,14.700440618334854,24.568294472091022,41.1,25.3
0.35,14.0,14.70044061833486,24.568294472091022,41.1,25.3
0.4,15.0,15.616159400398448,26.014512541504278,37.4,20.9
0.45,17.0,17.846846615424408,29.130691863731766,28.4,11.5
0.5,17.0,17.84684661542443,29.130691863731766,28.4,11.5
0.55,17.0,17.846846615424408,29.130691863731766,28.4,11.5
0.6,17.0,17.846846615424386,29.130691863731766,28.4,11.5
0.65,17.0,17.84684661542438,29.130691863731766,28.4,11.5
0.7,19.0,19.89924877597929,30.13571081454828,20.2,8.4
0.75,19.0,19.899248775979274,30.13571081454828,20.2,8.4
0.8,19.0,19.899248775979277,30.13571081454828,20.2,8.4
0.85,21.0,21.91639885950655,30.594858647049737,12.1,7.0
0.9,21.0,21.916398859506547,30.594858647049737,12.1,7.0
0.95,22.0,22.91529948030649,30.69423568949109,8.1,6.7
1.0,22.0,22.91529948030649,30.69423568949109,8.1,6.7
