lambda,n_stops,co2,profit,co2_pct_reduction,profit_pct_decrease
0.0,7.0,7.2634248873980605,12.328316798695573,74.1,62.2
0.05,7.0,7.271623869350445,12.651106228356326,74.0,61.2
0.1,7.0,7.492226911008486,14.947202895261162,73.3,54.2
0.15,7.0,7.492226911008462,14.947202895261162,73.3,54.2
0.2,7.0,7.813090476563559,16.65807074660193,72.1,48.9
0.25,7.0,7.813090476563555,16.65807074660193,72.1,48.9
0.3,7.0,7.813090476563542,16.65807074660193,72.1,48.9
0.35,7.0,7.813090476563542,16.65807074660193,72.1,48.9
0.4,8.0,8.734084651881593,18.158502074874193,68.8,44.3
0.45,12.0,13.055849193180757,23.9700733930895,53.4,26.5
0.5,12.0,13.055849193180716,23.9700733930895,53.4,26.5
0.55,15.0,16.058374055790843,26.670142992681672,42.7,18.2
0.6,15.0,16.05837405579087,26.670142992681672,42.7,18.2
0.65,16.0,17.183546378682518,27.412595194288564,38.7,15.9
0.7,18.0,19.20881633500642,28.40960492324408,31.4,12.9
0.75,18.0,19.208816335006443,28.40960492324408,31.4,12.9
0.8,18.0,19.20881633500647,28.40960492324408,31.4,12.9
0.85,18.0,19.20881633500647,28.40960492324408,31.4,12.9
0.9,18.0,19.208816335006407,28.40960492324408,31.4,12.9
0.95,18.0,19.208816335006397,28.40960492324408,31.4,12.9
1.0,18.0,19.208816335006446,28.40960492324408,31.4,12.9
