lambda,n_stops,co2,profit,co2_pct_reduction,profit_pct_decrease
0.0,19.0,19.7522687767559,27.011118005967536,42.4,34.6
0.05,19.0,19.75226877675575,27.011118005967536,42.4,34.6
0.1,19.0,19.77818697254803,27.46045308205232,42.3,33.5
0.15,19.0,19.778186972547992,27.46045308205232,42.3,33.5
0.2,19.0,19.778186972548106,27.46045308205232,42.3,33.5
0.25,19.0,19.778186972548106,27.46045308205232,42.3,33.5
0.3,21.0,21.9006088399652,33.61477695689902,36.1,18.6
0.35,21.0,21.90060883996526,33.61477695689902,36.1,18.6
0.4,21.0,21.900608839965184,33.61477695689902,36.1,18.6
0.45,21.0,21.900608839965212,33.61477695689902,36.1,18.6
0.5,21.0,21.900608839965276,33.61477695689902,36.1,18.6
0.55,24.0,24.995280408695052,36.318492107929394,27.1,12.0
0.6,24.0,24.9952804086951,36.318492107929394,27.1,12.0
0.65,24.0,24.99528040869508,36.318492107929394,27.1,12.0
0.7,24.0,24.9952804086951,36.318492107929394,27.1,12.0
0.75,25.0,25.998295872645105,36.71960617412325,24.1,11.1
0.8,25.0,25.998295872645063,36.71960617412325,24.1,11.1
0.85,25.0,25.998295872645063,36.71960617412325,24.1,11.1
0.9,27.0,28.00668799493432,37.0128988614347,18.3,10.3
0.95,27.0,28.00668799493429,37.0128988614347,18.3,10.3
1.0,27.0,28.006687994934246,37.0128988614347,18.3,10.3
