lambda,n_stops,co2,profit,co2_pct_reduction,profit_pct_decrease
0.0,4.0,4.593577723309247,8.974230889724314,81.4,17.7
0.05,4.0,4.593577723309247,8.974230889724314,81.4,17.7
0.1,4.0,4.593577723309247,8.974230889724314,81.4,17.7
0.15,4.0,4.593577723309248,8.974230889724314,81.4,17.7
0.2,4.0,4.617188968022152,9.098875574352551,81.3,16.6
0.25,4.0,4.617188968022152,9.098875574352551,81.3,16.6
0.3,4.0,4.617188968022152,9.098875574352551,81.3,16.6
0.35,4.0,4.617188968022152,9.098875574352551,81.3,16.6
0.4,4.0,4.617188968022152,9.098875574352551,81.3,16.6
0.45,4.0,4.617188968022152,9.098875574352551,81.3,16.6
0.5,4.0,4.617188968022152,9.098875574352551,81.3,16.6
0.55,4.0,4.617188968022152,9.098875574352551,81.3,16.6
0.6,4.0,4.617188968022152,9.098875574352551,81.3,16.6
0.65,4.0,4.617188968022152,9.098875574352551,81.3,16.6
0.7,4.0,4.617188968022152,9.098875574352551,81.3,16.6
0.75,6.0,6.575199400894877,9.781897277917018,73.4,10.3
0.8,6.0,6.5751994008948325,9.781897277917018,73.4,10.3
0.85,6.0,6.575199400894839,9.781897277917018,73.4,10.3
0.9,10.0,10.600416646771375,10.332053919521027,57.1,5.3
0.95,15.0,15.546240241914903,10.679987120579227,37.1,2.1
1.0,22.0,22.529375992545553,10.879904448621554,8.8,0.3
