lambda,n_stops,co2,profit,co2_pct_reduction,profit_pct_decrease
0.0,5.0,6.222810269932634,26.017984013466943,81.8,37.0
0.05,5.0,6.222810269932625,26.017984013466943,81.8,37.0
0.1,5.0,6.222810269932632,26.017984013466943,81.8,37.0
0.15,5.0,6.22281026993263,26.017984013466943,81.8,37.0
0.2,5.0,6.222810269932625,26.017984013466943,81.8,37.0
0.25,5.0,6.222810269932614,26.017984013466943,81.8,37.0
0.3,5.0,6.222810269932557,26.017984013466943,81.8,37.0
0.35,5.0,6.222810269932556,26.017984013466943,81.8,37.0
0.4,5.0,6.222810269932579,26.017984013466943,81.8,37.0
0.45,9.0,10.012467527477808,30.84231739487339,70.8,25.3
0.5,9.0,10.012467527477705,30.84231739487339,70.8,25.3
0.55,9.0,10.012467527477716,30.84231739487339,70.8,25.3
0.6,15.0,16.128307090175667,35.365385801908054,52.9,14.3
0.65,18.0,19.123495190860847,37.11298708772253,44.2,10.1
0.7,18.0,19.123495190860858,37.11298708772253,44.2,10.1
0.75,20.0,21.117856965670384,37.86255835631955,38.4,8.3
0.8,20.0,21.1178569656703,37.86255835631955,38.4,8.3
0.85,23.0,24.08656095019686,38.4066984262316,29.7,7.0
0.9,24.0,25.08593728110968,38.53158108944993,26.8,6.7
0.95,27.0,28.150728344605632,38.82553759580285,17.9,6.0
1.0,27.0,28.150728344605565,38.82553759580285,17.9,6.0
