stop_id,route_id,average_ons,average_offs,average_load,X,Y,Stop_ID,Stop_Name,lambda_0.0,lambda_0.05,lambda_0.1,lambda_0.15,lambda_0.2,lambda_0.25,lambda_0.3,lambda_0.35,lambda_0.4,lambda_0.45,lambda_0.5,lambda_0.55,lambda_0.6,lambda_0.65,lambda_0.7,lambda_0.75,lambda_0.8,lambda_0.85,lambda_0.9,lambda_0.95,lambda_1.0
13321,23,34.7,0.0,34.7,-71.0834589999999,42.3164560000001,13321.0,Townsend St @ Warren St,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17862,23,8.919844276903099,0.0,8.943205632911514,-71.0918606,42.3366446,17862.0,Ruggles Lower Busway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11257,23,2.3674005282828814,0.30778941602471016,11.009192495368966,-71.0926919999999,42.331197,11257.0,Malcolm X Blvd @ King St,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1259,23,0.4208657946893239,0.043735331970626075,10.490070690438337,-71.0898579999999,42.3309750000001,1259.0,Malcolm X Blvd opp Madison Park HS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
11323,23,1.3368147462265112,0.5895224126841768,11.270350403732763,-71.08842,42.330605,11323.0,Malcolm X Blvd opp O'Bryant HS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
11259,23,0.13483859263271022,0.3953511252040663,11.286465603450893,-71.086203,42.329483,11259.0,Malcolm X Blvd @ Shawmut Ave,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64000,23,7.872774716377652,1.1380279600867849,17.785777417689186,-71.0846039,42.3289888,64000.0,Nubian Station,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40001,23,0.5835586709851419,0.418094988977342,18.328658033437453,-71.0833969999999,42.3253530000001,40001.0,Warren St @ Dabney Pl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
401,23,0.2517870868606163,0.35555002724120355,18.21319885091943,-71.082883,42.323923,401.0,Warren St @ Walnut Ave,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
404,23,0.5975969020086667,0.7665411217617094,18.06145345895347,-71.082102,42.321536,404.0,Warren St opp Waverly St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
405,23,0.7212766087030795,1.0769665018929715,17.712109860345155,-71.081628,42.3199320000001,405.0,Warren St opp Woodbine St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406,23,1.1450516272575093,0.8267962443697744,18.02937634790577,-71.08212,42.318133,406.0,Warren St @ ML King Blvd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
407,23,1.071812881077587,1.2272887949358535,17.87232306805836,-71.0830319999999,42.316227,407.0,Warren St @ Townsend St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410,23,0.5069339520018253,0.6767320074786143,18.993953665265888,-71.083653,42.3132620000001,410.0,Warren St @ Waumbeck St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
411,23,0.3266793321091965,0.46013296474834936,18.851875152214518,-71.082984,42.3117050000001,411.0,Warren St @ Brunswick St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
412,23,0.6933947858156002,1.2171355441264944,18.318176507022667,-71.0832619999999,42.3104210000001,412.0,Warren St @ Crawford St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
471,23,1.3062597523683501,0.7751148401148398,18.841735303002267,-71.082884,42.307874,471.0,Washington St @ Blue Hill Ave,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
