lambda,n_stops,co2,profit,co2_pct_reduction,profit_pct_decrease
0.0,33.0,36.76034347163521,43.2324679798489,43.8,37.8
0.05,33.0,36.76034347163426,43.2324679798489,43.8,37.8
0.1,33.0,36.9565972325162,45.3094254835382,43.5,34.8
0.15,33.0,36.95659723251475,45.3094254835382,43.5,34.8
0.2,33.0,36.95659723251711,45.3094254835382,43.5,34.8
0.25,35.0,40.37218848641367,57.44558151133495,38.3,17.3
0.3,35.0,40.37218848641448,57.44558151133495,38.3,17.3
0.35,35.0,40.37218848641456,57.44558151133495,38.3,17.3
0.4,36.0,41.417168887217215,59.302797245562665,36.7,14.7
0.45,36.0,41.41716888721632,59.302797245562665,36.7,14.7
0.5,38.0,43.04740499588821,61.15951226601912,34.2,12.0
0.55,38.0,43.047404995887746,61.15951226601912,34.2,12.0
0.6,39.0,44.099976082040236,61.89264533780412,32.6,10.9
0.65,44.0,49.034278262972116,64.89357801822388,25.1,6.6
0.7,44.0,49.03427826297188,64.89357801822388,25.1,6.6
0.75,47.0,52.08507950421023,66.04808557609772,20.4,5.0
0.8,48.0,53.73096127736096,66.50438060682455,17.9,4.3
0.85,50.0,55.271583367079025,66.82033895172906,15.6,3.9
0.9,50.0,55.271583367079046,66.82033895172906,15.6,3.9
0.95,53.0,58.23623651983682,67.05737598876608,11.0,3.5
1.0,55.0,60.264589899467566,67.05737598876608,7.9,3.5
