lambda,n_stops,co2,profit,co2_pct_reduction,profit_pct_decrease
0.0,6.0,8.52959476028447,41.65129099746408,79.5,37.6
0.05,6.0,8.529594760284454,41.65129099746408,79.5,37.6
0.1,6.0,8.59687694199772,42.51676007326008,79.3,36.3
0.15,6.0,8.596876941997731,42.51676007326008,79.3,36.3
0.2,6.0,8.596876941997794,42.51676007326008,79.3,36.3
0.25,6.0,8.596876941997808,42.51676007326008,79.3,36.3
0.3,7.0,9.409937580339136,44.66314996008266,77.3,33.1
0.35,7.0,9.409937580339395,44.66314996008266,77.3,33.1
0.4,10.0,12.078141205252724,49.17204986146333,70.9,26.3
0.45,10.0,12.078141205252418,49.17204986146333,70.9,26.3
0.5,14.0,16.30356274359387,53.86339580398235,60.7,19.3
0.55,16.0,18.25390881517676,55.528979841739456,56.0,16.8
0.6,22.0,24.43886276237463,59.75708860477129,41.1,10.5
0.65,24.0,26.50572602518121,61.00422012069128,36.1,8.6
0.7,27.0,29.47811611742711,62.458559864281014,29.0,6.4
0.75,30.0,32.38579990849922,63.5346172748192,22.0,4.8
0.8,32.0,34.48612931855176,64.15141961350615,16.9,3.9
0.85,32.0,34.48612931855205,64.15141961350615,16.9,3.9
0.9,32.0,34.486129318552344,64.15141961350615,16.9,3.9
0.95,32.0,34.48612931855221,64.15141961350615,16.9,3.9
1.0,32.0,34.48612931855249,64.15141961350615,16.9,3.9
