stop_id,average_ons,average_offs,average_load,time_period_id,X,Y,Stop_ID,Stop_Name,lambda_0.5,lambda_0.75
57,2.28,3.766666667,12.81333333,time_period_03,-71.073541,42.333825,57,Massachusetts Ave @ Albany St,1,1
57,3.964285714,4.778571429,13.38571429,time_period_04,-71.073541,42.333825,57,Massachusetts Ave @ Albany St,1,1
57,4.594117647,3.352941176,14.16470588,time_period_05,-71.073541,42.333825,57,Massachusetts Ave @ Albany St,1,1
57,5.9125,1.7,12.71875,time_period_06,-71.073541,42.333825,57,Massachusetts Ave @ Albany St,1,1
57,1.581818182,0.877272727,5.3,time_period_07,-71.073541,42.333825,57,Massachusetts Ave @ Albany St,1,1
57,1.366666667,0.722222222,3.944444444,time_period_08,-71.073541,42.333825,57,Massachusetts Ave @ Albany St,1,1
57,0.5,0.88,2.42,time_period_09,-71.073541,42.333825,57,Massachusetts Ave @ Albany St,1,1
57,1.753508772,1.307017544,8.186842105,time_period_10,-71.073541,42.333825,57,Massachusetts Ave @ Albany St,1,1
57,1.748148148,1.179012346,8.039506173,time_period_11,-71.073541,42.333825,57,Massachusetts Ave @ Albany St,1,1
58,1.0875,0.8875,10.2375,time_period_01,-71.074931,42.334948,58,Massachusetts Ave @ Harrison Ave,1,1
58,1.328571429,2.214285714,9.371428571,time_period_02,-71.074931,42.334948,58,Massachusetts Ave @ Harrison Ave,1,1
58,2.66,2.32,13.16666667,time_period_03,-71.074931,42.334948,58,Massachusetts Ave @ Harrison Ave,1,1
58,5.328571429,3.003571429,15.73928571,time_period_04,-71.074931,42.334948,58,Massachusetts Ave @ Harrison Ave,1,1
58,6.182352941,2.047058824,18.29411765,time_period_05,-71.074931,42.334948,58,Massachusetts Ave @ Harrison Ave,1,1
58,7.25,0.875,19.13125,time_period_06,-71.074931,42.334948,58,Massachusetts Ave @ Harrison Ave,1,1
58,2.836363636,0.472727273,7.681818182,time_period_07,-71.074931,42.334948,58,Massachusetts Ave @ Harrison Ave,1,1
58,1.766666667,0.211111111,5.522222222,time_period_08,-71.074931,42.334948,58,Massachusetts Ave @ Harrison Ave,1,1
58,0.44,0.08,2.76,time_period_09,-71.074931,42.334948,58,Massachusetts Ave @ Harrison Ave,1,1
58,1.989473684,0.669298246,9.495614035,time_period_10,-71.074931,42.334948,58,Massachusetts Ave @ Harrison Ave,1,1
58,2.048148148,0.540740741,9.558024691,time_period_11,-71.074931,42.334948,58,Massachusetts Ave @ Harrison Ave,1,1
10590,1.2875,0.1625,11.325,time_period_01,-71.076956,42.336621,10590,Massachusetts Ave @ Washington St,1,1
10590,1.714285714,0.385714286,10.72857143,time_period_02,-71.076956,42.336621,10590,Massachusetts Ave @ Washington St,1,1
10590,3.013333333,0.36,15.14666667,time_period_03,-71.076956,42.336621,10590,Massachusetts Ave @ Washington St,1,1
10590,2.364285714,0.535714286,16.92142857,time_period_04,-71.076956,42.336621,10590,Massachusetts Ave @ Washington St,1,1
10590,2.194117647,0.517647059,19.32941176,time_period_05,-71.076956,42.336621,10590,Massachusetts Ave @ Washington St,0,1
10590,2.21875,0.4375,19.85625,time_period_06,-71.076956,42.336621,10590,Massachusetts Ave @ Washington St,0,1
10590,1.222727273,0.240909091,8.268181818,time_period_07,-71.076956,42.336621,10590,Massachusetts Ave @ Washington St,0,1
10590,0.988888889,0.2,6.266666667,time_period_08,-71.076956,42.336621,10590,Massachusetts Ave @ Washington St,0,1
10590,0.36,0.18,2.76,time_period_09,-71.076956,42.336621,10590,Massachusetts Ave @ Washington St,0,1
10590,1.783333333,0.298245614,10.89035088,time_period_10,-71.076956,42.336621,10590,Massachusetts Ave @ Washington St,0,1
10590,1.958024691,0.312345679,11.17037037,time_period_11,-71.076956,42.336621,10590,Massachusetts Ave @ Washington St,1,1
87,0.8375,0.175,11.9875,time_period_01,-71.080362,42.339459,87,Massachusetts Ave @ Tremont St,1,1
87,1.157142857,0.242857143,11.67142857,time_period_02,-71.080362,42.339459,87,Massachusetts Ave @ Tremont St,1,1
87,2.673333333,0.48,17.32666667,time_period_03,-71.080362,42.339459,87,Massachusetts Ave @ Tremont St,1,1
87,1.267857143,0.857142857,17.31785714,time_period_04,-71.080362,42.339459,87,Massachusetts Ave @ Tremont St,1,0
87,1.258823529,0.8,19.83529412,time_period_05,-71.080362,42.339459,87,Massachusetts Ave @ Tremont St,0,0
87,1.28125,0.68125,20.38125,time_period_06,-71.080362,42.339459,87,Massachusetts Ave @ Tremont St,0,0
87,0.8,0.4,8.672727273,time_period_07,-71.080362,42.339459,87,Massachusetts Ave @ Tremont St,0,0
87,0.522222222,0.311111111,6.444444444,time_period_08,-71.080362,42.339459,87,Massachusetts Ave @ Tremont St,0,0
87,0.12,0.14,2.76,time_period_09,-71.080362,42.339459,87,Massachusetts Ave @ Tremont St,0,0
87,1.247368421,0.524561404,11.62719298,time_period_10,-71.080362,42.339459,87,Massachusetts Ave @ Tremont St,0,1
87,1.155555556,0.4,11.92592593,time_period_11,-71.080362,42.339459,87,Massachusetts Ave @ Tremont St,1,1
188,1.575,0.975,12.6,time_period_01,-71.083092,42.34157,188,Massachusetts Ave @ Massachusetts Ave Station,1,1
188,3.5,1.785714286,13.35714286,time_period_02,-71.083092,42.34157,188,Massachusetts Ave @ Massachusetts Ave Station,1,1
188,5.093333333,2.213333333,20.22666667,time_period_03,-71.083092,42.34157,188,Massachusetts Ave @ Massachusetts Ave Station,1,1
188,2.589285714,3.746428571,16.15357143,time_period_04,-71.083092,42.34157,188,Massachusetts Ave @ Massachusetts Ave Station,1,1
188,2.417647059,4.388235294,17.85294118,time_period_05,-71.083092,42.34157,188,Massachusetts Ave @ Massachusetts Ave Station,1,1
188,2.56875,4.69375,18.24375,time_period_06,-71.083092,42.34157,188,Massachusetts Ave @ Massachusetts Ave Station,1,1
188,1.304545455,1.504545455,8.509090909,time_period_07,-71.083092,42.34157,188,Massachusetts Ave @ Massachusetts Ave Station,1,1
188,1.022222222,1.444444444,6.022222222,time_period_08,-71.083092,42.34157,188,Massachusetts Ave @ Massachusetts Ave Station,1,1
188,0.3,0.4,2.66,time_period_09,-71.083092,42.34157,188,Massachusetts Ave @ Massachusetts Ave Station,1,1
188,2.121052632,1.460526316,12.28421053,time_period_10,-71.083092,42.34157,188,Massachusetts Ave @ Massachusetts Ave Station,1,1
188,2.266666667,1.556790123,12.63703704,time_period_11,-71.083092,42.34157,188,Massachusetts Ave @ Massachusetts Ave Station,1,1
89,0.5375,0.6625,12.4875,time_period_01,-71.084121,42.342303,89,Massachusetts Ave @ St Botolph St,0,1
89,0.685714286,0.514285714,13.55714286,time_period_02,-71.084121,42.342303,89,Massachusetts Ave @ St Botolph St,0,1
89,2.213333333,0.96,21.49333333,time_period_03,-71.084121,42.342303,89,Massachusetts Ave @ St Botolph St,1,1
89,1.882142857,1.428571429,16.62857143,time_period_04,-71.084121,42.342303,89,Massachusetts Ave @ St Botolph St,1,1
89,2.529411765,1.370588235,19.03529412,time_period_05,-71.084121,42.342303,89,Massachusetts Ave @ St Botolph St,1,1
89,3.8375,1.41875,20.64375,time_period_06,-71.084121,42.342303,89,Massachusetts Ave @ St Botolph St,1,1
89,2.640909091,0.809090909,10.32727273,time_period_07,-71.084121,42.342303,89,Massachusetts Ave @ St Botolph St,1,1
89,1.5,0.655555556,6.9,time_period_08,-71.084121,42.342303,89,Massachusetts Ave @ St Botolph St,1,1
89,0.22,0.22,2.66,time_period_09,-71.084121,42.342303,89,Massachusetts Ave @ St Botolph St,1,1
89,2.40877193,0.988596491,13.71403509,time_period_10,-71.084121,42.342303,89,Massachusetts Ave @ St Botolph St,1,1
89,2.227160494,0.858024691,14.01111111,time_period_11,-71.084121,42.342303,89,Massachusetts Ave @ St Botolph St,0,1
91,0.45,0.35,12.5625,time_period_01,-71.086739,42.345331,91,Massachusetts Ave @ Clearway St,0,1
91,0.728571429,1.028571429,13.25714286,time_period_02,-71.086739,42.345331,91,Massachusetts Ave @ Clearway St,0,1
91,2.213333333,1.186666667,22.51333333,time_period_03,-71.086739,42.345331,91,Massachusetts Ave @ Clearway St,1,1
91,1.614285714,1.478571429,16.75714286,time_period_04,-71.086739,42.345331,91,Massachusetts Ave @ Clearway St,1,1
91,1.847058824,1.570588235,19.23529412,time_period_05,-71.086739,42.345331,91,Massachusetts Ave @ Clearway St,1,1
91,2.34375,1.16875,21.76875,time_period_06,-71.086739,42.345331,91,Massachusetts Ave @ Clearway St,1,1
91,1.55,0.572727273,11.31818182,time_period_07,-71.086739,42.345331,91,Massachusetts Ave @ Clearway St,1,1
